job_position_name,skills_required_cleaned,responsibilities,responsibilities_cleaned,educationaL_requirements,experiencere_requirement
"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",cisco linux operation maintenance of server,"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution",hardware network installation troubleshooting diagnostics user training capacity building hardware replacement fault repair system setup software license account management backup management system updates maintenance server storage management documentation technical specifications data protection disaster recovery storage database planning power disk backup incident management escalation service restoration user communication verification incident classification resolution major incident escalation problem error management task assignment execution,Bachelor/Honors,4 to 5 years
Project Coordinator (Civil),auto cad 2d 3d civil 3d civil construction civil engineering,"Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration",project design data analysis accord alliance knowledge bnbc standards cost estimation feasibility studies documentation compliance site monitoring policy enforcement legal compliance data management team collaboration,•Bachelor of Business Administration (BBA) in Human Resource Management,5 to 10 years
Executive/ Sr. Executive -IT,0,"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",hardware software installation system monitoring it support networking expertise mail server administration security management troubleshooting repair operations support,Bachelor of Science (BSc) in Computer Science & Engineering,3 to 5 years
Network Support Engineer,ccna cisco certified network associate gpon hardware networking iig isp it enabled services olt and onu,"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge","mikrotik router configuration olt device setup management integration with billing software network monitoring tools integration connectivity troubleshooting technical support escalation installation configuration gpon epon expertise cisco, olt, mikrotik knowledge","Diploma, Bachelor/Honors",At least 3 years
Intern (Generative AI Engineering - 2D/3D Image Generation),0,"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",generative ai development evolutionary computation deep learning optimization expert systems design knowledge representation data preprocessing model training research integration,Bachelor of Science (BSc),0
Executive - VAT,vat and tax,"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",mushak forms maintenance vat software ms office maintenance vat ledger management vat challan coordination liaison with vat office vat documentation other assigned tasks,BBA in Accounting and Finance,1 to 3 years
Sr.Officer / Executive - Internal Audit,having cacc from reputed ca firm internal audit and compliance,"Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification",internal audit assistance voucher bill verification cost sheet analysis l c voucher verification expense verification salary wages verification market rate verification,"Master of Commerce (MCom) in Accounting, Must have CACC certification from any CA firm",2 to 4 years
Management Trainee - Mechanical,computer skill good communication skills mechanical engineering quick learner and hard working,"Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support",management trainee mechanical systems maintenance troubleshooting performance analysis project support process improvement training development administrative support,Fresh graduates with a Bachelor’s degree in Mechanical Engineering or a related field.,0
HR Officer,human resource management,"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",relationship building hr collaboration policy development training management record keeping compliance employee development policy enforcement communication task execution,"•Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university.",0
DevOps Engineer,ansible aws cloud cloud platform devops dockers and kubernetes java reactjs terraform,"Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability",open source technologies ci cd culture tooling product availability scalability automation build deploy monitoring reliability infrastructure innovation software engineering velocity infrastructure resiliency security data availability,Bachelor/Honors,At least 3 years
Data Engineer,azure big data data analytics etl tools power bi sql,"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning",data platform design data pipeline development etl processes sql query optimization data integration transformation data modeling stakeholder collaboration data quality monitoring continuous learning,Bachelor of Science (BSc),5 to 8 years
Head of Internal Control & Compliance (ICC) - SEVP/DMD,audit and inspection banking internal audit,"15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws",15 years banking experience audit inspection icc leadership internal audit compliance risk based operational reviews system based audit expertise knowledge of bangladeshi laws,"Masters, Master of Business Administration (MBA), Master of Business Management (MBM)",At least 15 years
"Full Stack Developer (Python,React js)",0,"Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting","full stack development front end reactjs, nextjs backend python, django api design server side logic drf django rest framework database management postgresql, mysql version control git aws ecr, rds, ecs, alb, ec2, etc linux, docker, ci cd, gitlab terraform, shell scripting",Bachelor/Honors,3 to 7 years
Civil Engineer,autocad etabs microsoft office suite ms project,"Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits",design review coordination proposal preparation feasibility analysis software utilization supervision technical support submission review progress reporting compliance site visits,B.Sc in Civil Engineering from a reputed university.,At least 5 years
Data Science Engineer,business analysis effective communication skills java rest api design soft skills software development,"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",application development object oriented design collaboration problem solving software lifecycle innovation software testing system analysis performance monitoring plugin development documentation integration support,Bachelor of Science (BSc) in Computer Science & Engineering,At least 2 years
"Manager- Human Resource Management (HRM)
",hrm report human resource management ngo,"Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution",recruitment coordination appointment management selection criteria employee orientation performance evaluation hr database management report compilation documentation event coordination task execution,"Masters degree in any discipline, Bachelor of Business Administration (BBA)",5 to 6 years
Marketing Officer,corporate marketing facebook ads manager facebook campaign facebook marketing google ads google analytics market researc marketing search engine optimization seo,"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO","digital marketing strategy brand awareness, online traffic social media management google analytics cross functional teams campaign execution, seo",Bachelor/Honors,At least 1 year
Site Engineer,autocad communication and negotiation skills internet ms office,"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




",supervision monitoring construction estimation planning material management project coordination quality assurance cost control inventory operations safety error escalation miscellaneous tasks,Bachelor of Science (BSc) in Civil Engineering,1 to 2 years
